# Couverture du niveau 600
@theme hverdag Everyday life
@level 600

Det ødela alt. | Ça a tout gâché. | It ruined everything.
Det er langt å gå. | C'est loin à pied. | It's a long way to walk.
Ungene leker ute. | Les enfants jouent dehors. | The kids are playing outside.
Når kommer vi fram? | Quand est-ce qu'on arrive ? | When do we get there?
Jeg er faktisk ganske sulten. | En fait, j'ai assez faim. | Actually, I'm quite hungry.
Jeg er nesten ferdig. | J'ai presque fini. | I'm almost done.
Kan du ta et bilde av oss? | Tu peux nous prendre en photo ? | Can you take a picture of us?
Hvem er damen der? | Qui est la dame là-bas ? | Who is that lady?
Ellers er alt bra. | À part ça, tout va bien. | Otherwise everything's fine.
Det var dumt av meg. | C'était bête de ma part. | That was stupid of me.
Vi hjelper hverandre. | Nous nous aidons les uns les autres. | We help each other.
Gi meg en sjanse til. | Donne-moi encore une chance. | Give me one more chance.
Begge barna er syke. | Les deux enfants sont malades. | Both children are ill.
Et øyeblikk, takk. | Un instant, s'il vous plaît. | One moment, please.
Jeg skal dit [i morgen]. | J'y vais demain. | I'm going there tomorrow.
Norge er et vakkert land. | La Norvège est un beau pays. | Norway is a beautiful country.
Hun løper hver morgen. | Elle court tous les matins. | She runs every morning.
Han er ung og sterk. | Il est jeune et fort. | He is young and strong.
Bilen står bak huset. | La voiture est derrière la maison. | The car is behind the house.
Han er veldig høy. | Il est très grand. | He is very tall.
Fortell meg en historie! | Raconte-moi une histoire ! | Tell me a story!
Jeg kom nettopp. | Je viens d'arriver. | I just arrived.
Hvor langt er det herfra? | C'est à quelle distance d'ici ? | How far is it from here?
Hun synger mens hun jobber. | Elle chante pendant qu'elle travaille. | She sings while she works.
Vær{være} stille! | Tais-toi ! / Silence ! | Be quiet!
Det er nær byen. | C'est près de la ville. | It's near the town.
Om en måned flytter vi. | Dans un mois, nous déménageons. | We're moving in a month.
Jeg lover å komme. | Je promets de venir. | I promise to come.
Vi skal reise{reise_verb} til *Spania. | Nous allons voyager en Espagne. | We're going to travel to Spain.
