# Essentiels : nombres, jours, mois, heure, mesures, directions, expressions
@level 300

@theme tall Numbers and time
Jeg har null kroner. | J'ai zéro couronne. | I have zero kroner.
Det er null grader ute. | Il fait zéro degré dehors. | It's zero degrees outside.
Nummeret mitt begynner med null. | Mon numéro commence par zéro. | My number starts with zero.
Null, en, to, tre{tre_num}, fire, fem. | Zéro, un, deux, trois, quatre, cinq. | Zero, one, two, three, four, five.
Vi har null sjanse uten hjelp. | Nous n'avons aucune chance sans aide. | We have zero chance without help.
Jeg har en{en_num} bror og to søstre. | J'ai un frère et deux sœurs. | I have one brother and two sisters.
Vent ett{en_num} minutt! | Attends une minute ! | Wait one minute!
Jeg har bare ett barn. | Je n'ai qu'un enfant. | I only have one child.
Klokka er en{en_num}. | Il est une heure. | It's one o'clock.
Vi er tre{tre_num} i familien. | Nous sommes trois dans la famille. | There are three of us in the family.
Jeg jobber tre{tre_num} dager i uka. | Je travaille trois jours par semaine. | I work three days a week.
Hun har tre{tre_num} barn. | Elle a trois enfants. | She has three children.
Klokka er fire. | Il est quatre heures. | It's four o'clock.
Vi er fire personer. | Nous sommes quatre personnes. | We are four people.
Jeg har bodd her i fire år. | J'habite ici depuis quatre ans. | I've lived here for four years.
Det tar fire timer til *Oslo. | Il faut quatre heures jusqu'à Oslo. | It takes four hours to Oslo.
Jeg har fire timer igjen. | Il me reste quatre heures. | I have four hours left.
Klokka er seks. | Il est six heures. | It's six o'clock.
Jeg står opp klokka sju. | Je me lève à sept heures. | I get up at seven.
Det er sju dager i en uke. | Il y a sept jours dans une semaine. | There are seven days in a week.
Barnet er sju år. | L'enfant a sept ans. | The child is seven.
Jeg har sju timer med jobb [i dag]. | J'ai sept heures de travail aujourd'hui. | I have seven hours of work today.
Vi spiser klokka sju. | On mange à sept heures. | We eat at seven.
Jeg jobber åtte timer. | Je travaille huit heures. | I work eight hours.
Klokka er åtte. | Il est huit heures. | It's eight o'clock.
Hun er åtte år gammel. | Elle a huit ans. | She's eight years old.
Vi kommer klokka åtte. | Nous venons à huit heures. | We're coming at eight.
Jeg begynner klokka åtte hver dag. | Je commence à huit heures tous les jours. | I start at eight every day.
Klokka er ni. | Il est neuf heures. | It's nine o'clock.
Jeg har ni timer [i morgen]. | J'ai neuf heures demain. | I have nine hours tomorrow.
Gutten er ni år. | Le garçon a neuf ans. | The boy is nine.
Vi er ni personer på jobb. | Nous sommes neuf au travail. | There are nine of us at work.
Hun kommer klokka ni. | Elle arrive à neuf heures. | She's coming at nine.
Klokka er elleve. | Il est onze heures. | It's eleven o'clock.
Jeg legger meg klokka elleve. | Je me couche à onze heures. | I go to bed at eleven.
Han er elleve år. | Il a onze ans. | He's eleven.
Vi har elleve dager igjen. | Il nous reste onze jours. | We have eleven days left.
Det er elleve personer her. | Il y a onze personnes ici. | There are eleven people here.
Klokka er tolv. | Il est midi / minuit. | It's twelve o'clock.
Vi spiser klokka tolv. | On mange à midi. | We eat at twelve.
Jeg har jobbet tolv timer [i dag]. | J'ai travaillé douze heures aujourd'hui. | I've worked twelve hours today.
Hun er tretten år. | Elle a treize ans. | She's thirteen.
Det er tretten personer i rommet. | Il y a treize personnes dans la pièce. | There are thirteen people in the room.
Jeg har tretten kroner. | J'ai treize couronnes. | I have thirteen kroner.
Bussen kommer om tretten minutter. | Le bus arrive dans treize minutes. | The bus comes in thirteen minutes.
Han har bodd her i tretten år. | Il habite ici depuis treize ans. | He's lived here for thirteen years.
Det tar fjorten dager. | Ça prend quinze jours. | It takes a fortnight.
Hun er fjorten år. | Elle a quatorze ans. | She's fourteen.
Vi har fjorten dager ferie. | Nous avons quatorze jours de vacances. | We have fourteen days off.
Jeg har fjorten timer igjen. | Il me reste quatorze heures. | I have fourteen hours left.
Om fjorten dager kommer hun. | Elle arrive dans quinze jours. | She's coming in a fortnight.
Klokka er kvart over fem. | Il est cinq heures et quart. | It's quarter past five.
Vent femten minutter. | Attends quinze minutes. | Wait fifteen minutes.
Jeg er femten minutter sen. | J'ai quinze minutes de retard. | I'm fifteen minutes late.
Han er femten år. | Il a quinze ans. | He's fifteen.
Det tar femten minutter å gå. | Il faut quinze minutes à pied. | It takes fifteen minutes to walk.
